id,latitude,longitude,description,classification,date,misc,type,country,location,reference,comments
808,34.064606,-101.84576,Event desc here,secclass1,1/4/2013 14:21,,evtype4,US,HALE CENTER TX,using city record id:15218,,
809,45.642235,-93.2011,Event desc here,secclass4,1/4/2013 14:21,,evtype1,US,GRANDY MN,using city record id:22337,,
810,28.835825,-97.44415,Event desc here,secclass1,1/4/2013 14:21,,evtype2,US,WEESATCHE TX,using city record id:12341,,
811,29.83399,-95.43424,Event desc here,secclass1,1/4/2013 14:35,,evtype1,US,HUFFMAN TX,using city record id:10323,,
812,41.499096,-72.97569,Event desc here,secclass5,1/4/2013 14:35,,evtype5,US,PROSPECT CT,using city record id:11397,,
813,30.970827,-95.890755,Event desc here,secclass3,1/4/2013 14:35,,evtype2,US,MADISONVILLE TX,using city record id:22335,,
814,40.392593,-96.26478,Event desc here,secclass4,1/4/2013 14:35,,evtype2,US,CRAB ORCHARD NE,using city record id:15959,,
815,41.55987,-71.8892,Event desc here,secclass1,1/4/2013 14:35,,evtype1,US,GLASGO CT,using city record id:18881,,
816,40.45179,-81.35647,Event desc here,secclass3,1/4/2013 14:35,,evtype5,US,UHRICHSVILLE OH,using city record id:7931,,
817,35.1393,-79.00576,Event desc here,secclass3,1/4/2013 14:35,,evtype1,US,FORT BRAGG NC,using city record id:27780,,
818,38.54879,-97.17004,Event desc here,secclass3,1/4/2013 14:35,,evtype3,US,TAMPA KS,using city record id:5332,,
819,37.730625,-81.27986,Event desc here,secclass5,1/4/2013 14:35,,evtype4,US,GLEN WHITE WV,using city record id:10249,,
820,41.914036,-93.51988,Event desc here,secclass2,1/4/2013 14:35,,evtype3,US,CAMBRIDGE IA,using city record id:20298,,
821,38.91365,-80.83125,Event desc here,secclass1,1/4/2013 14:35,,evtype1,US,COXS MILLS WV,using city record id:17573,,
822,37.97078,-83.11931,Event desc here,secclass4,1/4/2013 14:35,,evtype5,US,ELKFORK KY,using city record id:4430,,
823,41.81184,-93.15951,Event desc here,secclass3,1/4/2013 14:35,,evtype5,US,BAXTER IA,using city record id:16589,,
