type	id	time	latitude	longitude	alt
FLIGHT	8A02F1	1377742574	3.598300	98.862700	1750
FLIGHT	8A02F1	1377742937	3.273100	99.253600	14925
FLIGHT	8A02F1	1377743300	2.814900	99.778800	26775
FLIGHT	8A02F1	1377743665	2.259600	100.320700	34600
FLIGHT	8A02F1	1377744022	1.701400	100.802500	35000
FLIGHT	8A02F1	1377744384	1.133500	101.280200	35000
FLIGHT	8A02F1	1377744746	0.573800	101.750700	35000
FLIGHT	8A02F1	1377745107	0.066800	102.184400	35000
FLIGHT	8A02F1	1377745458	-0.388400	102.580200	35000
FLIGHT	8A02F1	1377746930	-2.870900	104.610200	35000
FLIGHT	8A02F1	1377747292	-3.486300	105.032000	35000
FLIGHT	8A02F1	1377747653	-4.027200	105.446500	35000
FLIGHT	8A02F1	1377748010	-4.578700	106.011000	35000
FLIGHT	8A02F1	1377748379	-5.232700	106.402900	35000
FLIGHT	8A02F1	1377748739	-5.953300	106.613300	32025
FLIGHT	8A02F1	1377749104	-6.559300	106.808200	23750
FLIGHT	8A02F1	1377749456	-6.804200	107.342200	12475
FLIGHT	8A02F1	1377749828	-6.984500	107.729700	5925
FLIGHT	8A02F1	1377750124	-6.897800	107.568200	0
FLIGHT	8A02F1	1377753815	-6.892500	107.552000	3600
FLIGHT	8A02F1	1377754178	-6.893000	107.646400	10425
FLIGHT	8A02F1	1377754540	-6.899100	108.256200	23475
FLIGHT	8A02F1	1377754906	-7.054400	108.982200	32725
FLIGHT	8A02F1	1377755264	-7.147800	109.712600	39000
FLIGHT	8A02F1	1377755630	-7.173800	110.438800	39000
FLIGHT	8A02F1	1377755994	-7.160800	111.179900	39000
FLIGHT	8A02F1	1377756355	-7.254600	111.911100	39000
FLIGHT	8A02F1	1377756719	-7.532800	112.599900	39000
FLIGHT	8A02F1	1377757075	-7.867100	113.235500	36700
FLIGHT	8A02F1	1377757445	-8.191100	113.858200	26000
FLIGHT	8A02F1	1377757806	-8.538100	114.350300	14225
FLIGHT	8A02F1	1377758149	-8.781500	114.715300	7950
FLIGHT	8A02F1	1377758518	-8.745200	115.007300	2700
FLIGHT	8A02F1	1377758893	-8.746700	115.170600	0
FLIGHT	78082F	1377742929	40.243600	116.284500	15375
FLIGHT	78082F	1377743298	40.120200	115.531500	28125
FLIGHT	78082F	1377743667	40.111200	114.712600	34075
FLIGHT	A50126	1377741010	41.387100	-85.932300	9975
FLIGHT	A50126	1377741838	40.920000	-85.310000	2600
FLIGHT	A50126	1377744371	40.881600	-85.227000	7875
FLIGHT	A50126	1377744752	40.373800	-85.812100	18725
FLIGHT	A50126	1377745113	39.764500	-86.365500	24025
FLIGHT	A50126	1377745477	39.013700	-86.295900	15175
FLIGHT	A50126	1377745839	38.452600	-86.185600	8425
FLIGHT	A50126	1377746203	38.271500	-85.872400	5950
FLIGHT	A50126	1377746565	37.950300	-85.697600	3825
FLIGHT	A50126	1377746914	38.170000	-85.743200	0
